,lyrics
66," There's only two types of people in the world The ones that entertain and the ones that observe Well baby, I'm a put-on-a-show kind of girl Don't like the backseat, gotta be first I'm a like the ringleader, I call the shots (Call the shots) I'm like a firecracker I make it hot, hot, hot, hot a firecracker I make it hot, hot, hot, hot a firecracker I make it hot, hot, hot, hot There's only two types of people in the world The ones that entertain and the ones that observe Well baby, I'm a put-on-a-show kind of girl Don't like the backseat, gotta be first I'm a like the ringleader, I call the shots (Call the shots) I'm like a firecracker I make it hot, hot, hot, hot I'm a like the ringleader, I call the shots (Call the shots) I'm like a firecracker I make it hot, hot, hot, hot All eyes on me in the center of the ring just like a circus When I crack that whip, everybody gon' trip just like a circus Don't stand there watching me, follow me, show me what you can do Everybody let go, we can make a dance floor just like a circus There's only two types of guys out there Ones that can hang with me and ones that are scared So baby, I hope that you came prepared I run a tight ship so beware I'm a like the ringleader, I call the shots (Call the shots) I'm like a firecracker, I make it hot, hot, hot I'm a like the ringleader, I call the shots (Call the shots) I'm like a firecracker, I make it hot, hot, hot There's only two types of people in the world The ones that entertain and the ones that observe Well baby, I'm a put-on-a-show kind of girl Don't like the backseat, gotta be first I'm a like the ringleader, I call the shots (Call the shots) I'm like a firecracker I make it hot, hot, hot, hot I'm a like the ringleader, I call the shots (Call the shots) I'm like a firecracker I make it hot, hot, hot, hot All eyes on me in the center of the ring just like a circus When I crack that whip, everybody gon' trip just like a circus Don't stand there watching me, follow me, show me what you can do Everybody let go, we can make a dance floor just like a circus"
67," Yeah, I've been waiting for you So patiently And now you're here You're my answer Thank you Yeah I think you're my answer Here I go You're the answer All this time I've tried to find you I've been yearning You're the answer to the question that's been burning When they ask me who I love, you're the answer You're my answer Patiently I've waited for this day to finally come Knew someday, somehow, I would find that special one Someone perfect, someone true Someone that I knew was you Who can hold me tight Keep me warm through the night Who can wipe my tears When it's wrong, make it right Who can give me love until I'm satisfied Who's the one I need in my life You're the answer All this time I've tried to find you I've been yearning You're the answer to the question that's been burning When they ask me who I love You're the answer You're my answer Baby I'm underneath your spell Savor every moment that I have you to myself Put my loving to the test cause baby this is destiny Yeah, this is destiny Who can hold me tight Keep me warm through the night Who can wipe my tears When it's wrong, make it right Who can give me love until I'm satisfied You're the one I need in my life You're the answer All this time I've tried to find you I've been yearning You're the answer to the question that's been burning When they ask me who I love You're the answer You're my answer You're the answer All this time I've tried to find you I've been yearning You're the answer to the question that's been burning When they ask me who I love You're the answer You're my answer Who can hold me tight Keep me warm through the night Who can wipe my tears When it's wrong, make it right Who can give me love until I'm satisfied Who's the one I need in my life You're the answer All this time I've tried to find you I've been yearning You're the answer to the question that's been burning When they ask me who I love You're the answer You're my answer You're the answer You're my answer, you're my answer, you're my answer You're my answer"
68," La, la, la, la-la, la, la, la La, la, la, la-la, la, la, la La, la, la, la-la, la, la, la La, la, la, la-la, la, la, la Oh baby, baby, have you seen Amy tonight? Is she in the bathroom, is she smokin' up outside? (Oh!) Oh baby, baby, does she take a piece of lime For the drink that I'mma buy her, do you know just what she likes? (Oh!) Oh (Oh) Tell me have you seen her, cause I'm so (Oh) I can't get her off of my brain I just wanna go, to the party she gon' go Can't somebody take me home? Haha, hehe, haha, ho Love me, hate me Say what you want about me But all of the boys and all of the girls Are begging to if you seek Amy Love me, hate me But can't you see what I see? All of the boys and all of the girls Are begging to if you seek Amy (Love me, hate me) La, la, la, la-la, la, la, la La, la, la, la-la, la, la, la Amy told me that she's gonna meet me up I don't know where or when and now they're closin' up the club (Oh!) I've seen her once or twice before she knows my face But it's hard to see with all the people standin' in the way (Oh!) Oh (Oh) Tell me have you seen her, cause I'm so (Oh) I can't get her off of my brain I just wanna go, to the party she gon' go Can't somebody take me home? Haha, hehe, haha, ho Love me, hate me Say what you want about me But all of the boys and all of the girls Are begging to if you seek Amy Love me, hate me But can't you see what I see? All of the boys and all of the girls Are begging to if you seek Amy (Love me, hate me) Ohhhh, say what you want about me Ohhhh, but can't you see what I see? (Love me, hate me) Yeahh, say what you want about me (La, la, la, la-la, la, la, la) So tell me if you see her (Let me know what she was wearing and what she was like) Cause I've been waiting here forever (Let me know where she was going I don't mind) Oh baby, baby, if you seek Amy tonight (Oh!) Oh baby, baby, we'll do whatever you'll like Oh baby, baby, baby Oh baby, baby, baby... La, la, la, la-la, la, la, la La, la, la, la-la, la, la, la La, la, la, la-la, la, la, la La, la, la, la-la, la, la, la Love me, hate me Say what you want about me But all of the boys and all of the girls Are begging to if you seek Amy Love me, hate me But can't you see what I see? All of the boys and all of the girls Are begging to if you seek Amy Love me, hate me Say what you want about me (Yeaaaah) (La, la, la, la-la, la, la, la) (Yeah) Love me, hate me But can't you see what I see? All of the boys and all of the girls Are begging to if you seek Amy (Love me, hate me) Ohhhh, say what you want about me Ohhhh, but can't you see what I see? (Love me, hate me) Yeahh, say what you want about me All of the boys and all of the girls Are begging to if you seek Amy"
69," I'm Miss American Dream since I was seventeen Don't matter if I step on the scene Or sneak away to the Philippines They still gon' put pictures of my derriere in the magazine You want a piece of me? You want a piece of me I'm Miss bad media karma Another day another drama Guess I can't see no harm In working and being a mama And with a kid on my arm I'm still an exception And you want a piece of me I'm Mrs. Lifestyles of the rich and famous (You want a piece of me) I'm Mrs. Oh my God that Britney's shameless! (You want a piece of me) I'm Mrs. Extra! Extra! This just in (You want a piece of me) I'm Mrs. she's too big now she's too thin (You want a piece of me) I'm Mrs. 'You want a piece of me?' Tryin' and pissin' me off Well get in line with the paparazzi Who's flippin' me off Hopin' I'll resort to startin' havoc And end up settlin' in court Now are you sure you want a piece of me? I'm Mrs. 'Most likely to get on TV for strippin' on the streets' When getting the groceries, no, for real Are you kidding me? No wonder there's panic in the industry I mean please I'm Mrs. Lifestyles of the rich and famous (You want a piece of me) I'm Mrs. Oh my God that Britney's Shameless (You want a piece of me) I'm Mrs. Exta! Extra! this just in (You want a piece of me) I'm Mrs. she's too big now she's too thin (You want a piece of me) I'm Miss American Dream since I was 17 Don't matter if I step on the scene Or sneak away to the Philippines They still gon' put pictures of my derriere in the magazine You want a piece of me? You want a piece of me You want a piece of me? I'm Mrs. Lifestyles of the rich and famous (You want a piece of me) I'm Mrs. Oh my God that Britney's shameless! (You want a piece of me) I'm Mrs. Extra! Extra! this just in (You want a piece of me) I'm Mrs. she's too big now she's too thin (You want a piece of me) I'm Mrs. Lifestyles of the rich and famous (You want a piece of me) I'm Mrs. Oh my God that Britney's shameless! (You want a piece of me) I'm Mrs. Extra! Extra! this just in (You want a piece of me) I'm Mrs. she's too big now she's too thin (You want a piece of me) Oh yeah You want a piece of me"
70," Baby, can't you see I'm calling A guy like you should wear a warning It's dangerous I'm falling There's no escape I can't wait I need a hit Baby, give me it You're dangerous I'm loving it Too high Can't come down Losin' my head Spinnin' 'round and 'round Do you feel me now? Oh, The taste of your lips I'm on a ride You're toxic I'm slippin' under With a taste of a poison paradise I'm addicted to you Don't you know that you're toxic? And I love what you do Don't you know that you're toxic? It's getting late To give you up I took a sip From my devil's cup Slowly, it's taking over me Too high Can't come down It's in the air and it's all around Can you feel me now? Oh, Taste of your lips I'm on a ride You're toxic I'm slippin' under With the taste of a poison paradise I'm addicted to you Don't you know that you're toxic? And I love what you do Don't you know that you're toxic? Don't you know that you're toxic? (Oh, oh) Taste of your lips I'm on a ride You're toxic I'm slippin' under With a taste of a poison paradise I'm addicted to you Don't you know that you're toxic? With the taste of your lips I'm on a ride You're toxic I'm slippin' under With a taste of the poison paradise I'm addicted to you Don't you know that you're toxic? Intoxicate me now With your lovin' now I think I'm ready now I think I'm ready now Intoxicate me now With your lovin' now I think I'm ready now"
71," Let's undo all the distance From your guts down to your buttons And get lost in your existence What you, what you, what you wanna do? And if you wanna get real And if you wanna get honest Then baby you know the deal What you wanna do? Better open up 'Cause it feels much better When we open up for each other And I know Oh, oh, oh, oh, oh, oh When you know somebody Oh, oh, oh, oh, oh, oh And they know your body It's so much better Show me what's under your t-shirt And bare it like it's your first time You take it off like you never Like you've never been hurt Open up (open up) 'cause it feels much better (much better) When we open up (open up) for each other (for each other) And I know Oh, oh, oh, oh, oh, oh When you know somebody Oh, oh, oh, oh, oh, oh And they know your body It's so much better So good, so good, so damn, so good So damn, so good, so right, so good (yeah) So good, so good, so damn, so good So damn, so good, so right, so good When you know somebody, when you know somebody When you know somebody, when you know somebody When you know Oh, oh, oh, (oh-oh) oh, oh, oh (oh-oh) When you know somebody Oh, oh, oh, (oh-oh) oh, oh, oh (oh-oh) And they know your body Oh, oh, oh, (oh-oh) oh, oh, oh (oh-oh) When you know somebody Oh, oh, oh, (oh-oh) oh, oh, oh (oh-oh) And they know your body Oh, get to know my body Better and better Better and better Damn It's so much better"
72," He is a hustler, he's no good at all He is a loser, he's a bum, bum, bum, bum He lies, he bluffs, he's unreliable He is a sucker with a gun, gun, gun, gun I know you told me I should stay away I know you said he's just a dog astray He is a bad boy with a tainted heart And even I know this ain't smart But mama I'm in love with a criminal And this type of love isn't rational, it's physical Mama please don't cry, I will be alright All reason aside I just can't deny, I love the guy He is a villain by the devil's law He is a killer just for fun, fun, fun, fun That man's a snitch and unpredictable He's got no conscience, he got none, none, none, none All I know, should've let go, but no 'Cause he's a bad boy with a tainted heart And even I know this ain't smart But mama I'm in love with a criminal And this type of love isn't rational, it's physical Mama please don't cry, I will be alright All reason aside I just can't deny, I love that guy And he's got my name, Tattooed on his arm his lucky charm So I guess it's okay he's with me And I hear people talk Trying to make remarks keep us apart But I don't even hear I don't care 'Cause mama I'm in love with a criminal And this type of love isn't rational, it's physical Mama please don't cry, I will be alright All reason aside I just can't deny, I love the guy Mama I'm in love with a criminal And this type of love isn't rational, it's physical Mama please don't cry, I will be alright All reason aside I just can't deny, I love the guy"
73," Baby, I'm so into you You got that something, what can I do Baby, you spin me around Oh, the earth is moving, but I can't feel the ground Every time you look at me My heart is jumpin', it's easy to see Lovin' you means so much more More than anything I ever felt before You drive me crazy I just can't sleep I'm so excited, I'm in too deep Oh crazy But it feels alright Baby, thinkin' of you keeps me up all night Oh oh Tell me, you're so into me That I'm the only one you will see Tell me, I'm not in the blue, oh That I'm not wastin' my feelings on you Lovin' you means so much more More than anything I ever felt before You drive me crazy I just can't sleep I'm so excited, I'm in too deep Oh crazy But it feels alright Baby, thinkin' of you keeps me up all night Crazy I just can't sleep I'm so excited, I'm in too deep Crazy But it feels alright Every day and every night You drive me crazy (you drive me crazy, baby) I'm so excited, I'm in too deep Oh crazy (you make me feel alright) Baby, thinkin' of you keeps me up all night You drive me crazy (you drive me crazy, baby) Yeah Oh crazy (you make me feel alright) But it feels alright Baby, thinkin' of you keeps me up all night Baby, thinkin' of you keeps me up all night"
74," This is the story about Mona Lisa The Mona Lisa Ladies and gentlemen, I've got a little story to tell About Mona Lisa and how she suddenly fell See everyone knew her, they knew her oh so well Now I am taking over to release her from her spell She's the original She's unforgettable She wants you to know She's been gone It's kind of incredible She's so unpredictable She wants you to know She's been gone, she's been gone, she's been gone She was taken under drowning in her sea Running like an angel, she was crying and could not see, oh no Now see everyone's watching as she starts to fall They want her to breakdown be a legend of her fall She's the original She's unforgettable She wants you to know She's been gone It's kind of incredible She's so unpredictable She wants you to know She's been gone, she's been gone, she's been gone Ladies does that make you cry? Mona Lisa's got to fly, nobody really dies Everyone, may we have a moment of silence right here God She's the original She's unforgettable She wants you to know She's been gone It's kind of incredible She's so unpredictable She wants you to know That she's home, that she's home She's the original She's unforgettable She wants you to know She's been gone It's kind of incredible She's so unpredictable She wants you to know That she's home, that she's home, that she's home"
75," Bring the action When your hear us in the club You gotta turn the shit up You gotta turn the shit up You gotta turn the shit up When we up in the club All eyes on us All eyes on us All eyes on us See the boys in the club They watching us They watching us They watching us Everybody in the club All eyes on us All eyes on us All eyes on us I wanna scream and shout and let it all out And scream and shout and let it out We sayin' oh we oh, we oh, we oh We sayin' oh we oh, we oh, we oh I wanna scream and shout and let it all out And scream and shout and let it out We sayin' oh we oh, we oh, we oh You are now now rocking with Will.i.am and Britney bitch Oh yeah Oh yeah Oh yeah Bring the action Rock and roll Everybody let's lose control On the bottom we let it go Going faster, we ain't going slow-low-low hey yo Hear the beat, now let's hit the floor Drink it up and then drink some more Light it up and let's let it blow, blow, blow hey yo, Rock it out and rock it now If you know what we talking 'bout Turn it up and burn down the house ha house, hey yo Turn it up and go turn it down Here we go we go shake it bam 'cause everywhere we go we Bring the action When your hear us in the club You gotta turn the shit up You gotta turn the shit up You gotta turn the shit up When we up in the club All eyes on us All eyes on us All eyes on us You see them girls in the club They looking at us They looking at us They looking at us Everybody in the club All eyes on us All eyes on us All eyes on us I wanna scream and shout and let it all out And scream and shout and let it out We sayin' oh we oh, we oh, we oh We sayin' oh we oh, we oh, we oh I wanna scream and shout and let it all out And scream and shout and let it out We sayin' oh we oh, we oh we oh You are now now rocking with Will.i.am and Britney bitch Oh yeah Oh yeah Oh yeah It goes on and on and on and on When me and you party together I wish this night would last forever 'Cause I was feeling down and now feel better Maybe it goes on and on and on and on When me and you party together I wish this night would last forever, forever forever ever ever, ever I wanna scream and shout and let it all out And scream and shout and let it out We sayin' oh we oh, we oh, we oh We sayin' oh we oh, we oh, we oh I wanna scream and shout and let it all out And scream and shout and let it out We sayin' oh we oh, we oh we oh We sayin' oh we oh, we oh we oh I wanna scream and shout and let it all out And scream and shout and let it out We sayin' oh we oh, we oh, we oh You are now now rocking with Will, I.Am and Britney bitch"
76," Baby, can't you see I'm calling A guy like you should wear a warning It's dangerous I'm falling There's no escape I can't wait I need a hit Baby, give me it You're dangerous I'm loving it Too high Can't come down Losin' my head Spinnin' 'round and 'round Do you feel me now? Oh, The taste of your lips I'm on a ride You're toxic I'm slippin' under With a taste of a poison paradise I'm addicted to you Don't you know that you're toxic? And I love what you do Don't you know that you're toxic? It's getting late To give you up I took a sip From my devil's cup Slowly, it's taking over me Too high Can't come down It's in the air and it's all around Can you feel me now? Oh, Taste of your lips I'm on a ride You're toxic I'm slippin' under With the taste of a poison paradise I'm addicted to you Don't you know that you're toxic? And I love what you do Don't you know that you're toxic? Don't you know that you're toxic? (Oh, oh) Taste of your lips I'm on a ride You're toxic I'm slippin' under With a taste of a poison paradise I'm addicted to you Don't you know that you're toxic? With the taste of your lips I'm on a ride You're toxic I'm slippin' under With a taste of the poison paradise I'm addicted to you Don't you know that you're toxic? Intoxicate me now With your lovin' now I think I'm ready now I think I'm ready now Intoxicate me now With your lovin' now I think I'm ready now"
77," Yeah yeah yeah yeah yeah Yeah yeah yeah yeah yeah yeah I think I did it again I made you believe we're more than just friends Oh baby It might seem like a crush But it doesn't mean that I'm serious 'Cause to lose all my senses That is just so typically me Oh baby, baby Oops, I did it again I played with your heart, got lost in the game Oh baby, baby Oops, you think I'm in love That I'm sent from above I'm not that innocent You see my problem is this I'm dreaming away Wishing that heroes, they truly exist I cry, watching the days Can't you see I'm a fool in so many ways But to lose all my senses That is just so typically me Oh baby, oh Oops, I did it again I played with your heart, got lost in the game Oh baby, baby Oops, you think I'm in love That I'm sent from above I'm not that innocent Yeah yeah yeah yeah yeah yeah Yeah yeah yeah yeah yeah yeah All aboard Britney, before you go, there's something I want you to have Oh, it's beautiful, but wait a minute, isn't this? Yeah, yes it is But I thought the old lady dropped it into the ocean in the end Well baby, I went down and got it for you Aww, you shouldn't have Oops, I did it again to your heart Got lost in this game, oh baby Oops, you think that I'm sent from above I'm not that innocent Oops, I did it again I played with your heart, got lost in the game Oh baby, baby Oops, you think I'm in love That I'm sent from above I'm not that innocent Oops, I did it again I played with your heart, got lost in the game Oh baby, baby Oops, you think I'm in love That I'm sent from above I'm not that innocent"
78," Oh baby, baby Oh baby, baby Oh baby, baby How was I supposed to know That something wasn't right here Oh baby baby I shouldn't have let you go And now you're out of sight, yeah Show me, how you want it to be Tell me baby 'Cause I need to know now what we've got [Chorus] My loneliness is killing me I must confess, I still believe When I'm not with you I lose my mind Give me a sign Hit me baby one more time Oh baby, baby The reason I breathe is you Boy you got me blinded Oh baby, baby There's nothing that I wouldn't do That's not the way I planned it Show me, how you want it to be Tell me baby 'Cause I need to know now what we've got [Chorus] Oh baby, baby Oh baby, baby Ah, yeah, yeah Oh baby, baby How was I supposed to know Oh pretty baby I shouldn't have let you go I must confess, that my loneliness Is killing me now Don't you know I still believe That you will be here And give me a sign Hit me baby one more time [Chorus] I must confess that my loneliness Is killing me now Don't you know I still believe That you will be here And give me a sign Hit me baby one more time"
79," Drums keep pounding a rhythm to the brave La de da de dee La de da de da When you have reached the edge by far History has turned the page by far We still want to hear a brand new thing, uh huh We still need a song to sing, uh huh And the beat goes on And the beat goes on And the beat goes on And the beat goes on And the beat goes on And the beat goes on Drums keep pounding rhythm to the brave La de da de de La de da de da Love is the first thing, last thing on my mind From tonight until the end of time And the beat goes on And the beat goes on And the beat goes on And the beat goes on And the beat goes on And the beat goes on And the beat goes on Drums keep pounding rhythm to the brave La de da de dee La de da de da We still move to a rhythm just like this We still dream of sharing our first kiss And the beat goes on And the beat goes on And the beat goes on And the beat goes on Drums keep pounding rhythm to the brave La de da de dee La de da de da World keeps turning faster every day (every day) We still will dance the night away And the beat goes on (and the beat goes on) And the beat goes on (and the beat goes on) And the beat goes on (and the beat goes on) And the beat goes on (and the beat goes on) And the beat goes on (and the beat goes on) And the beat goes on (and the beat goes on)"
80," (It's Britney bitch) (I see you) (And I just want to dance with you) Every time they turn the lights down Just want to go that extra mile for you You public display of affection Feels like no one else in the room (but you) We can get down like there's no one around We'll keep on rockin' (We'll keep on rockin') We'll keep on rockin' (Keep on rockin') Cameras are flashin' while we're dirty dancin' They keep watching (They keep watching) Keep watching Feels like the crowd is saying Gimme, Gimme more Gimme, More Gimme, Gimme, More Gimme, Gimme more Gimme, More Gimme, Gimme, More Gimme, Gimme more Gimme, More Gimme, Gimme, More Gimme, Gimme more Gimme, More Gimme, Gimme, More A center of attention (Can you feel them?) Even when we're up against the wall You've got me in a crazy position (yeah) If you're on a mission (uh-uh) You got my permission (oh) We can get down like there's no one around We'll keep on rockin' (Keep on rockin') We'll keep on rockin', rockin' (Oh ah ha) Cameras are flashin' while we're dirty dancin' They keep watching (They keep watching) Keep watching Feel's like the crowd is saying: Gimme, Gimme more Gimme, More Gimme, Gimme, More Gimme, Gimme more Gimme, More Gimme, Gimme, More Gimme, Gimme more Gimme, More Gimme, Gimme, More Gimme, Gimme more Gimme, More Gimme, Gimme, More (I just can't control myself) (Woah!) (Do you want more?) (Well We'll Give 'em More) (Ow) Gimme, Gimme more Gimme, More Gimme, Gimme, More (Gimme more) Gimme, Gimme more Gimme, More Gimme, Gimme, More (Oh woah oh!) Gimme, Gimme more Gimme, More Gimme, Gimme, More Gimme, Gimme more (Gimme more, yeah) Gimme, More Gimme, Gimme, More Give me more, give me more Give me more, give me more babe (Danja Danja, Danj) I just want more! Gimme, Gimme Gimme Gimme, Gimme Gimme, Gimme Gimme Gimme, Gimme Gimme, Gimme Gimme Gimme, Gimme Gimme, Gimme Gimme, Gimme, Gimme Bet you didn't see this one comin The incredible ligo The legendary Ms. Britney Spears And the unstoppable Danja You're gonna have to remove me Cause I ain't goin nowhere"
81," (It's Britney bitch) (I see you) (And I just want to dance with you) Every time they turn the lights down Just want to go that extra mile for you You public display of affection Feels like no one else in the room (but you) We can get down like there's no one around We'll keep on rockin' (We'll keep on rockin') We'll keep on rockin' (Keep on rockin') Cameras are flashin' while we're dirty dancin' They keep watching (They keep watching) Keep watching Feels like the crowd is saying Gimme, Gimme more Gimme, More Gimme, Gimme, More Gimme, Gimme more Gimme, More Gimme, Gimme, More Gimme, Gimme more Gimme, More Gimme, Gimme, More Gimme, Gimme more Gimme, More Gimme, Gimme, More A center of attention (Can you feel them?) Even when we're up against the wall You've got me in a crazy position (yeah) If you're on a mission (uh-uh) You got my permission (oh) We can get down like there's no one around We'll keep on rockin' (Keep on rockin') We'll keep on rockin', rockin' (Oh ah ha) Cameras are flashin' while we're dirty dancin' They keep watching (They keep watching) Keep watching Feel's like the crowd is saying: Gimme, Gimme more Gimme, More Gimme, Gimme, More Gimme, Gimme more Gimme, More Gimme, Gimme, More Gimme, Gimme more Gimme, More Gimme, Gimme, More Gimme, Gimme more Gimme, More Gimme, Gimme, More (I just can't control myself) (Woah!) (Do you want more?) (Well We'll Give 'em More) (Ow) Gimme, Gimme more Gimme, More Gimme, Gimme, More (Gimme more) Gimme, Gimme more Gimme, More Gimme, Gimme, More (Oh woah oh!) Gimme, Gimme more Gimme, More Gimme, Gimme, More Gimme, Gimme more (Gimme more, yeah) Gimme, More Gimme, Gimme, More Give me more, give me more Give me more, give me more babe (Danja Danja, Danj) I just want more! Gimme, Gimme Gimme Gimme, Gimme Gimme, Gimme Gimme Gimme, Gimme Gimme, Gimme Gimme Gimme, Gimme Gimme, Gimme Gimme, Gimme, Gimme Bet you didn't see this one comin The incredible ligo The legendary Ms. Britney Spears And the unstoppable Danja You're gonna have to remove me Cause I ain't goin nowhere"
82," I am here to testify That you're the only one I belong to I don't know where to start It turned into an art Not to show the world that it was you Who made me realize not to compromise The fact that you and I should need I know we're gonna get, know we're gonna get get Bombastic Love So fantastic Where I'm completley yours and you are mine And It's gonna be exactly like in a movie When we fall in love for the first time Don't know why I feel so insecure I never understood what it stood for I gotta make sure that blindness won't stop me again I can't sit and wait anymore You made me realize not to compromise The fact that you and I should need I know we're gonna get, know we're gonna get get Bombastic Love So fantastic Where I'm completley yours and you are mine And It's gonna be exactly like in a movie When we fall in love for the first time It's gonna be bombastic love Everything is gonna be alright When I'm yours and you are mine It's gonna be fantastic love When I wake up everything is still the same And you don't even know my name (I know it's gonna be) Bombastic Love So fantastic Where I'm completley yours and you are mine And It's gonna be exactly like in a movie When we fall in love for the first time I know we're gonna get, know we're gonna get get Bombastic Love So fantastic Where I'm completley yours and you are mine And It's gonna be exactly like in a movie When we fall in love for the first time"
83," Superstar Where you from, how's it going? I know you Gotta clue, what you're doing? You can play brand new to all the other chicks out here But I know what you are, what you are, baby Look at you Gettin' more than just re-up Baby, you Got all the puppets with their strings up Faking like a good one, but I call 'em like I see 'em I know what you are, what you are, baby Womanizer, woman, womanizer You're a womanizer, oh womanizer oh You're a womanizer, baby You you you are, you you you are Womanizer, womanizer, womanizer (womanizer) Boy, don't try to front I know just what you are Boy, don't try to front I know just what you are You say I'm crazy I got your crazy You're nothin' but a Womanizer Daddy-O You got the swagger of champion Too bad for you You just can't find the right companion I guess when you have one too many, makes it hard It could be easy, who you are That's just who you are, baby Lollipop Must mistake me, you're a sucker To think that I Would be a victim not another Say it, play it how you wanna But no way I'm ever gonna fall for you, never you, baby Womanizer, woman, womanizer You're a womanizer, oh womanizer oh You're a womanizer, baby You you you are, you you you are Womanizer, womanizer, womanizer (Womanizer) Boy, don't try to front I know just what you are Boy, don't try to front I know just what you are You got me goin' You're oh so charmin' But I can do it You womanizer Boy, don't try to front I know just what you are Boy, don't try to front I know just what you are You say I'm crazy I got your crazy You're nothin' but a Womanizer Maybe if we both lived in a different world (Womanizer, womanizer, womanizer, womanizer) It would be all good, and maybe I could be your girl, but I can't 'cause we don't, you Womanizer, woman, womanizer You're a womanizer, oh womanizer oh You're a womanizer, baby You you you are, you you you are Womanizer, womanizer, womanizer (Womanizer) Boy, don't try to front I know just what you are Boy, don't try to front I know just what you are You got me goin' You're oh so charmin' But I can do it Womanizer Boy, don't try to front I know just what you are Boy, don't try to front I know just what you are You say I'm crazy I got your crazy You're nothin' but a Womanizer Boy, don't try to front I know just what you are Boy, don't try to front I know just what you are Womanizer, woman, womanizer You're a womanizer Oh womanizer oh You're a womanizer, baby"
84," Confidence is a must Happiness is a plus Edginess is a rush Edges I like them rough A man with a midas touch Intoxicate me, I'm a lush Stop, you're making me blush People are looking at us I don't think you know, know I'm checking you so hot, so hot Wonder if he knows, he's on my radar On my radar, on my radar, on my radar And if I notice you, I know it's you Choosing, don't wanna losing you On my radar, on my radar On my radar, on my radar And when you walk (When you walk) And when you talk (When you talk) I get the tingle I wanna mingle That's what I want (That's what I want) And listen baby, turn up the fader Trying to make you understand You're on my radar, on my radar On my radar, on my radar, on my radar Got you on my radar Got you on my radar Got you on my radar Interesting sense of style Ten million dollar smile Think I can handle that Animal in the sack His eyes see right to my soul I saw and lose self-control Catch me looking again Falling right into my plan I don't think you know, know I'm checking you, so hot, so hot Wonder if he knows, he's on my radar On my radar, on my radar, on my radar And if I notice you, I know it's you Choosing, don't wanna losing you On my radar, on my radar On my radar, on my radar When you walk (When you walk) And when you talk (When you talk) I get the tingle I wanna mingle That's what I want (That's what I want) And listen baby turn up the fader Trying to make you understand You're on my radar, on my radar On my radar, on my radar On my radar Got you on my radar Got you on my radar Got you on my radar On my radar Got you on my radar Got you on my radar Got you on my radar I got my eye on you And I can't let you get away Hey baby, whether it's now or later I've got you You can't shake me 'Cause I got you on my radar Whether you like it or not, it ain't gonna stop 'Cause I got you on my radar (I got you) 'Cause I got you on my radar I'm checking you, so hot, so hot Wonder if he knows, he's on my radar On my radar, on my radar, on my radar And if I notice you, I know it's you Choosing, don't wanna losing you On my radar, on my radar On my radar, on my radar When you walk (When you walk) And when you talk (When you talk) I get the tingle I wanna mingle That's what I want (That's what I want) And listen baby, turn up the fader Trying to make you understand You're on my radar, on my radar On my radar, on my radar On my radar Got you on my radar Got you on my radar Got you on my radar On my radar Got you on my radar Got you on my radar Got you on my radar"
85," I wanna see you move Can you turn me up a little bit more? Do you like it? Yeah My loneliness is killing me, and I I must confess I still believe, still believe When I'm not with you, I lose my mind Give me a sign, hit me, baby, one more time Crazy, crazy You drive me crazy, I just can't sleep I'm so excited, I'm in too deep Oh, crazy but it feels all right Baby, thinking of you keeps me up all night Get it, get it, get it I'm a slave for you I cannot hold it, I cannot control it I'm a slave for you I won't deny it, I'm not trying to hide it Baby, baby, baby, baby Oops, oops, oops Yeah, yeah, yeah Oops, I did it again, I played with your heart Got lost in the game Oh, baby, baby oops, you think I'm in love That I'm sent from above I'm not that innocent, innocent, innocent But now, I'm stronger than yesterday Now, it's nothing, but-a my way My loneliness ain't killing me no more I, I'm stronger Stop Yeah, like that? Everytime I try to fly, I fall without my wings I feel so small, I guess I need you, baby And everytime I see you in my dreams I see your face, it's haunting me I guess I need you, baby, need you, baby Need you baby, need you, baby What I am to do to with my life? You will find it out, don't worry How am I supposed to know what's right? You just gotta do it your way I can't help the way I feel But my life has been so overprotected Protected, protected, protected I wanna see you move, move, move With the taste of your lips, I'm on a ride You're toxic, I'm slipping under With the taste of a poison paradise I'm addicted to you, don't you know that you're toxic? And I love what you do, don't you know that you're toxic?"
86," Yeah Sometimes I just love to have that out Just something a girl's gotta do, oh Never thought I'd see you like this You lookin' good when you're half dressed Just let me give you one last test Is that a sin, no Am I too hot for you though Did you check out my video There's some things you don't do Like this I'll take you to spend in my way Just give in when you are ready to play Uh, like this Here comes the showdown What goes around comes around And the crowds are waiting, oh 'Cause if we break up Then we can make up Shake my booty all night Here comes the showdown, oh I don't really want to be a tease Would you undo my zipper, please Uh uh, please don't talk Listen I'll let you touch me if you want I see your body rise, rise And when you come, don't get too hot Butterfly I'll take you to spend in my way Just give in when you are ready to play Like this Here comes the showdown What goes around comes around And the crowds are waiting, oh 'Cause if we break up Then we can make up Shake my booty all night Here comes the showdown, oh Forget the tension When we fight You make it up Turn down the light It's just a lover's game we play, yeah After the screaming's at an end Why don't we all do it again That's when the fun really begins Oh, whoa Here comes the showdown What goes around comes around And the crowds are waiting, oh 'Cause if we break up Then we can make up Shake my booty all night Yeah Yeah Yeah Here comes the showdown Here comes the showdown, oh What goes around comes around The crowds are waiting, oh Yeah Here comes the showdown, oh"
